iter	Passed	Remaining
977	10816	243
978	10825	232
979	10834	221
980	10888	210
981	10903	199
982	10929	189
983	10944	177
984	10960	166
985	10975	155
986	11014	145
987	11029	133
988	11049	122
989	11064	111
990	11084	100
991	11112	89
992	11129	78
993	11144	67
994	11168	56
995	11181	44
996	11213	33
997	11232	22
998	11258	11
999	11267	0
